publication_id,Lien Google Scholar,Editors,Book,Publisher,chercheur,chercheur_id,Titre_publication,Auteurs,Lien,Journal,Conference,date_publication,Volumes,nombre_pages,Type
ayfnt2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=_u5IOC4AAAAJ&citation_for_view=_u5IOC4AAAAJ:qUcmZB5y_30C,,,,BOUSBIA Nabila,10,A Y-Design formal modeling framework for RESTful APIs-Based E-Learning system development,Belkacem Mostefai and Nabila Bousbia and Tarek Boutefara and Abderrahmane Hammia and Sahraoui Dhelim and Amar Balla,,Studies in Engineering and Exact Sciences,,2024,5,e12393-e12393,journal
tocng2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:u5HHmVD_uO8C,IEEE,,IEEE,BOUSSAHA  Ryma,11,Towards authenticated network coding for named data networking,Ryma Boussaha and Yacine Challal and Malika Bessedik and Abdelmadjid Bouabdallah,https://doi.org/10.23919/SOFTCOM.2017.8115565,,"2017 25th international conference on software, telecommunications and computer networks (SoftCOM)",2017,,1-6,conference
aufng2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:u-x6o8ySG0sC,IEEE,,IEEE Computer Society,BOUSSAHA  Ryma,11,Authenticated network coding for software-defined named data networking,Ryma Boussaha and Yacine Challal and Abdelmadjid Bouabdallah,https://doi.org/10.1109/AINA.2018.00160,,2018 IEEE 32nd international conference on advanced information networking and applications (AINA),2018,,1115-1122,conference
peeng2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:d1gkVwhDpl0C,IEEE,,IEEE Computer Society,BOUSSAHA  Ryma,11,Peer-to-peer collaborative video-on-demand streaming over mobile content centric networking,Ryma Boussaha and Yacine Challal and Abdelmadjid Bouabdallah and Djelloul Ighit and Lyes Tairi,https://doi.org/10.1109/AINA.2018.00152,,2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA),2018,,1053-1059,conference
sifng2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:2osOgNQ5qMEC,IEEE,,IEEE Computer Society,BOUSSAHA  Ryma,11,Single-Path Network Coding Authentication for Software-Defined Named Data Networking,Ryma Boussaha and Yacine Challal and Abdelmadjid Bouabdallah,https://doi.org/10.1109/AICCSA47632.2019.9035223,,2019 IEEE/ACS 16th International Conference on Computer Systems and Applications (AICCSA),2019,,1-8,conference
oping2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:9yKSN-GCB0IC,Elsevier,,,BOUSSAHA  Ryma,11,Optimized in-network authentication against pollution attacks in software-defined-named data networking,Ryma Boussaha and Yacine Challal and Abdelmadjid Bouabdallah and Malika Bessedik,https://doi.org/10.1016/j.jisa.2019.102409,Journal of Information Security and Applications,,2020,50,102409,journal
deaks2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:qjMakFHDy7sC,IEEE,,IEEE,BOUSSAHA  Ryma,11,Deep reinforcement learning based resource allocation in dense sliced LoRaWAN networks,Amine Tellache and Abdelkader Mekrache and Abbas Bradai and Ryma Boussaha and Yannis Pousset,https://doi.org/10.1109/ICCE53296.2022.9730234,,2022 IEEE International Conference on Consumer Electronics (ICCE),2022,,1-6,conference
sezng2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:UeHWp8X0CEIC,Springer International Publishing,International Conference on Computing Systems and Applications,Springer,BOUSSAHA  Ryma,11,Security Analysis and Evaluation of Optimized Authentication in Named Data Networking,Ryma Boussaha and Yacine Challal and Abdelmadjid Bouabdallah,https://doi.org/10.1007/978-3-031-12097-8_25,,"Advances in Computing Systems and Applications - Proceedings of the 5th Conference on Computing Systems and Applications, CSA 2022, Algiers, Algeria, 17-18 May, 2022",2022,,287-297,conference
bocon2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:IjCSPb-OGe4C,,,,BOUSSAHA  Ryma,11,Boosting cross-quality face verification using blind face restoration,Messaoud Bengherabi and Douaa Laib and Fella Souhila Lasnami and Ryma Boussaha,https://doi.org/10.1109/BIOSIG58226.2023.10345986,arXiv preprint arXiv:2308.07967,"Proceedings of the 22nd International Conference of the Biometrics Special Interest Group, BIOSIG 2023, Darmstadt, Germany, September 20-22, 2023",2023,,1-6,journal
sewng2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=mg6cCloAAAAJ&citation_for_view=mg6cCloAAAAJ:Tyk-4Ss8FVUC,IEEE,,IEEE,BOUSSAHA  Ryma,11,Service Orchestration in Autonomous Vehicle Networks: Leveraging Vehicular Fog and Edge Computing,Sarra Khaber and Ryma Boussaha and Yacine Challal,https://doi.org/10.23919/SoftCOM58365.2023.10271582,,"2023 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",2023,,1-6,conference
